#           k/h    P           
   0.348904E+00   0.674899E+03
   0.350708E+00   0.667275E+03
   0.352512E+00   0.659843E+03
   0.354316E+00   0.652611E+03
   0.356120E+00   0.645587E+03
   0.357925E+00   0.638774E+03
   0.359729E+00   0.632170E+03
   0.361533E+00   0.625772E+03
   0.363337E+00   0.619571E+03
   0.365141E+00   0.613555E+03
   0.366946E+00   0.607709E+03
   0.368750E+00   0.602020E+03
   0.370554E+00   0.596470E+03
   0.372358E+00   0.591044E+03
   0.374163E+00   0.585727E+03
   0.375967E+00   0.580503E+03
   0.377771E+00   0.575355E+03
   0.379575E+00   0.570267E+03
   0.381379E+00   0.565226E+03
   0.383184E+00   0.560216E+03
   0.384988E+00   0.555229E+03
   0.386792E+00   0.550258E+03
   0.388596E+00   0.545295E+03
   0.390400E+00   0.540339E+03
   0.392205E+00   0.535388E+03
   0.394009E+00   0.530442E+03
   0.395813E+00   0.525502E+03
   0.397617E+00   0.520569E+03
   0.399421E+00   0.515649E+03
   0.401226E+00   0.510748E+03
   0.403030E+00   0.505872E+03
   0.404834E+00   0.501030E+03
   0.406638E+00   0.496230E+03
   0.408442E+00   0.491480E+03
   0.410247E+00   0.486786E+03
   0.412051E+00   0.482155E+03
   0.413855E+00   0.477592E+03
   0.415659E+00   0.473101E+03
   0.417464E+00   0.468689E+03
   0.419268E+00   0.464357E+03
   0.421072E+00   0.460110E+03
   0.422876E+00   0.455950E+03
   0.424680E+00   0.451875E+03
   0.426485E+00   0.447884E+03
   0.428289E+00   0.443975E+03
   0.430093E+00   0.440143E+03
   0.431897E+00   0.436387E+03
   0.433701E+00   0.432700E+03
   0.435506E+00   0.429081E+03
   0.437310E+00   0.425523E+03
   0.439114E+00   0.422022E+03
   0.440918E+00   0.418573E+03
   0.442722E+00   0.415169E+03
   0.444527E+00   0.411805E+03
   0.446331E+00   0.408476E+03
   0.448135E+00   0.405178E+03
   0.449939E+00   0.401907E+03
   0.451744E+00   0.398662E+03
   0.453548E+00   0.395440E+03
   0.455352E+00   0.392239E+03
   0.457156E+00   0.389058E+03
   0.458960E+00   0.385894E+03
   0.460765E+00   0.382748E+03
   0.462569E+00   0.379620E+03
   0.464373E+00   0.376511E+03
