  k [h/Mpc]      delta b
 0.0699459   0.00135924
 0.0701371   0.0013554
 0.0703283   0.00135159
 0.0705195   0.00134782
 0.0707107   0.0013441
 0.0709019   0.0013404
 0.0710931   0.00133675
 0.0712843   0.00133314
 0.0714755   0.00132956
 0.0716667   0.00132602
 0.0718579   0.00132252
 0.072049    0.00131906
 0.0722402   0.00131563
 0.0724314   0.00131224
 0.0726226   0.00130888
 0.0728138   0.00130556
 0.073005    0.00130228
 0.0731962   0.00129903
 0.0733874   0.00129582
 0.0735786   0.00129264
 0.0737698   0.0012895
 0.073961    0.00128639
 0.0741522   0.00128331
 0.0743433   0.00128027
 0.0745345   0.00127726
 0.0747257   0.00127429
 0.0749169   0.00127135
 0.0751081   0.00126844
 0.0752993   0.00126557
 0.0754905   0.00126272
 0.0756817   0.00125991
 0.0758729   0.00125713
 0.0760641   0.00125438
 0.0762553   0.00125166
 0.0764464   0.00124898
 0.0766376   0.00124632
 0.0768288   0.0012437
 0.07702     0.0012411
 0.0772112   0.00123854
 0.0774024   0.001236
 0.0775936   0.00123349
 0.0777848   0.00123101
 0.077976    0.00122856
 0.0781672   0.00122614
 0.0783584   0.00122374
 0.0785495   0.00122137
 0.0787407   0.00121903
 0.0789319   0.00121672
 0.0791231   0.00121443
 0.0793143   0.00121217
 0.0795055   0.00120993
 0.0796967   0.00120772
 0.0798879   0.00120554
 0.0800791   0.00120338
 0.0802703   0.00120124
 0.0804615   0.00119913
 0.0806527   0.00119704
 0.0808438   0.00119498
 0.081035    0.00119293
 0.0812262   0.00119092
 0.0814174   0.00118892
 0.0816086   0.00118694
 0.0817998   0.00118499
 0.081991    0.00118306
 0.0821822   0.00118115
 0.0823734   0.00117926
 0.0825646   0.00117739
 0.0827558   0.00117554
 0.0829469   0.00117371
 0.0831381   0.0011719
 0.0833293   0.00117011
 0.0835205   0.00116834
 0.0837117   0.00116658
 0.0839029   0.00116485
 0.0840941   0.00116313
 0.0842853   0.00116143
 0.0844765   0.00115974
 0.0846677   0.00115808
 0.0848589   0.00115642
 0.0850501   0.00115479
 0.0852412   0.00115317
 0.0854324   0.00115156
 0.0856236   0.00114997
 0.0858148   0.0011484
 0.086006    0.00114684
 0.0861972   0.00114529
 0.0863884   0.00114376
 0.0865796   0.00114224
 0.0867708   0.00114073
 0.086962    0.00113924
 0.0871532   0.00113775
 0.0873443   0.00113628
 0.0875355   0.00113482
 0.0877267   0.00113338
 0.0879179   0.00113194
 0.0881091   0.00113051
 0.0883003   0.0011291
 0.0884915   0.00112769
 0.0886827   0.00112629
 0.0888739   0.0011249
 0.0890651   0.00112353
 0.0892563   0.00112215
 0.0894474   0.00112079
 0.0896386   0.00111944
 0.0898298   0.00111809
 0.090021    0.00111675
 0.0902122   0.00111542
 0.0904034   0.00111409
 0.0905946   0.00111277
 0.0907858   0.00111146
 0.090977    0.00111015
 0.0911682   0.00110884
 0.0913594   0.00110755
 0.0915506   0.00110625
 0.0917417   0.00110496
 0.0919329   0.00110368
 0.0921241   0.0011024
 0.0923153   0.00110112
 0.0925065   0.00109984
 0.0926977   0.00109857
 0.0928889   0.0010973
 0.0930801   0.00109603
 0.0932713   0.00109477
 0.0934625   0.00109351
 0.0936537   0.00109224
 0.0938448   0.00109098
 0.094036    0.00108973
 0.0942272   0.00108847
 0.0944184   0.00108721
 0.0946096   0.00108595
 0.0948008   0.0010847
 0.094992    0.00108344
 0.0951832   0.00108218
 0.0953744   0.00108092
 0.0955656   0.00107966
 0.0957568   0.0010784
 0.0959479   0.00107714
 0.0961391   0.00107587
 0.0963303   0.00107461
 0.0965215   0.00107334
 0.0967127   0.00107207
 0.0969039   0.0010708
 0.0970951   0.00106953
 0.0972863   0.00106825
 0.0974775   0.00106697
 0.0976687   0.00106569
 0.0978599   0.0010644
 0.0980511   0.00106311
 0.0982422   0.00106182
 0.0984334   0.00106052
 0.0986246   0.00105922
 0.0988158   0.00105791
 0.099007    0.0010566
 0.0991982   0.00105529
 0.0993894   0.00105397
 0.0995806   0.00105265
 0.0997718   0.00105132
 0.099963    0.00104999
 0.100154    0.00104865
 0.100345    0.00104731
 0.100537    0.00104596
 0.100728    0.0010446
 0.100919    0.00104325
 0.10111     0.00104188
 0.101301    0.00104051
 0.101492    0.00103914
 0.101684    0.00103776
 0.101875    0.00103637
 0.102066    0.00103498
 0.102257    0.00103358
 0.102448    0.00103218
 0.10264     0.00103077
 0.102831    0.00102935
 0.103022    0.00102793
 0.103213    0.0010265
 0.103404    0.00102507
 0.103596    0.00102363
 0.103787    0.00102218
 0.103978    0.00102073
 0.104169    0.00101928
 0.10436     0.00101781
 0.104552    0.00101635
 0.104743    0.00101487
 0.104934    0.00101339
 0.105125    0.00101191
 0.105316    0.00101042
 0.105508    0.00100892
 0.105699    0.00100742
 0.10589     0.00100591
 0.106081    0.0010044
 0.106272    0.00100288
 0.106463    0.00100136
 0.106655    0.000999834
 0.106846    0.000998301
 0.107037    0.000996764
 0.107228    0.000995221
 0.107419    0.000993674
 0.107611    0.000992122
 0.107802    0.000990566
 0.107993    0.000989005
 0.108184    0.00098744
 0.108375    0.00098587
 0.108567    0.000984296
 0.108758    0.000982718
 0.108949    0.000981135
 0.10914     0.000979549
 0.109331    0.000977959
 0.109523    0.000976365
 0.109714    0.000974768
 0.109905    0.000973167
 0.110096    0.000971563
 0.110287    0.000969956
 0.110478    0.000968347
 0.11067     0.000966734
 0.110861    0.000965119
 0.111052    0.000963502
 0.111243    0.000961882
 0.111434    0.000960261
 0.111626    0.000958637
 0.111817    0.000957012
 0.112008    0.000955385
 0.112199    0.000953757
 0.11239     0.000952127
 0.112582    0.000950496
 0.112773    0.000948865
 0.112964    0.000947232
 0.113155    0.000945599
 0.113346    0.000943966
 0.113538    0.000942332
 0.113729    0.000940698
 0.11392     0.000939065
 0.114111    0.000937431
 0.114302    0.000935799
 0.114493    0.000934166
 0.114685    0.000932535
 0.114876    0.000930905
 0.115067    0.000929276
 0.115258    0.000927648
 0.115449    0.000926022
 0.115641    0.000924397
 0.115832    0.000922775
 0.116023    0.000921154
 0.116214    0.000919536
 0.116405    0.00091792
 0.116597    0.000916306
 0.116788    0.000914695
 0.116979    0.000913087
 0.11717     0.000911482
 0.117361    0.000909881
 0.117553    0.000908283
 0.117744    0.000906688
 0.117935    0.000905097
 0.118126    0.00090351
 0.118317    0.000901927
 0.118509    0.000900349
 0.1187      0.000898775
 0.118891    0.000897205
 0.119082    0.000895641
 0.119273    0.000894081
 0.119464    0.000892526
 0.119656    0.000890977
 0.119847    0.000889433
 0.120038    0.000887895
 0.120229    0.000886362
 0.12042     0.000884835
 0.120612    0.000883315
 0.120803    0.0008818
 0.120994    0.000880292
 0.121185    0.00087879
 0.121376    0.000877295
 0.121568    0.000875806
 0.121759    0.000874325
 0.12195     0.00087285
 0.122141    0.000871382
 0.122332    0.000869922
 0.122524    0.000868468
 0.122715    0.000867022
 0.122906    0.000865584
 0.123097    0.000864153
 0.123288    0.00086273
 0.123479    0.000861315
 0.123671    0.000859908
 0.123862    0.000858509
 0.124053    0.000857118
 0.124244    0.000855736
 0.124435    0.000854362
 0.124627    0.000852996
 0.124818    0.000851639
 0.125009    0.00085029
 0.1252      0.000848951
 0.125391    0.00084762
 0.125583    0.000846298
 0.125774    0.000844985
 0.125965    0.000843681
 0.126156    0.000842386
 0.126347    0.000841101
 0.126539    0.000839824
 0.12673     0.000838557
 0.126921    0.000837299
 0.127112    0.00083605
 0.127303    0.000834811
 0.127494    0.000833582
 0.127686    0.000832362
 0.127877    0.000831151
 0.128068    0.000829951
 0.128259    0.00082876
 0.12845     0.000827579
 0.128642    0.000826408
 0.128833    0.000825246
 0.129024    0.000824095
 0.129215    0.000822954
 0.129406    0.000821823
 0.129598    0.000820702
 0.129789    0.00081959
 0.12998     0.000818489
 0.130171    0.000817398
 0.130362    0.000816317
 0.130554    0.000815246
 0.130745    0.000814185
 0.130936    0.000813133
 0.131127    0.000812092
 0.131318    0.000811061
 0.13151     0.00081004
 0.131701    0.000809029
 0.131892    0.000808028
 0.132083    0.000807037
 0.132274    0.000806056
 0.132465    0.000805085
 0.132657    0.000804124
 0.132848    0.000803173
 0.133039    0.000802233
 0.13323     0.000801302
 0.133421    0.000800381
 0.133613    0.000799471
 0.133804    0.00079857
 0.133995    0.000797679
 0.134186    0.000796799
 0.134377    0.000795927
 0.134569    0.000795066
 0.13476     0.000794214
 0.134951    0.000793372
 0.135142    0.00079254
 0.135333    0.000791717
 0.135525    0.000790903
 0.135716    0.000790099
 0.135907    0.000789305
 0.136098    0.00078852
 0.136289    0.000787744
 0.13648     0.000786977
 0.136672    0.000786219
 0.136863    0.000785471
 0.137054    0.000784732
 0.137245    0.000784002
 0.137436    0.000783281
 0.137628    0.000782569
 0.137819    0.000781866
 0.13801     0.000781172
 0.138201    0.000780486
 0.138392    0.00077981
 0.138584    0.000779141
 0.138775    0.000778482
 0.138966    0.000777831
 0.139157    0.000777188
 0.139348    0.000776553
 0.13954     0.000775926
 0.139731    0.000775308
 0.139922    0.000774697
 0.140113    0.000774094
 0.140304    0.000773499
 0.140495    0.000772912
 0.140687    0.000772332
 0.140878    0.000771759
 0.141069    0.000771194
 0.14126     0.000770636
 0.141451    0.000770086
 0.141643    0.000769543
 0.141834    0.000769006
 0.142025    0.000768477
 0.142216    0.000767954
 0.142407    0.000767438
 0.142599    0.000766929
 0.14279     0.000766426
 0.142981    0.00076593
 0.143172    0.00076544
 0.143363    0.000764956
 0.143555    0.000764478
 0.143746    0.000764006
 0.143937    0.00076354
