  k [h/Mpc]    covariance [h/Mpc]^5
 0.124838               0.413287
 0.125034               0.41545
 0.12523                0.417613
 0.125426               0.419776
 0.125623               0.421939
 0.125819               0.424102
 0.126015               0.426266
 0.126211               0.428429
 0.126407               0.430713
 0.126604               0.433488
 0.1268                 0.436263
 0.126996               0.439038
 0.127192               0.441813
 0.127388               0.444588
 0.127585               0.447363
 0.127781               0.450138
 0.127977               0.452913
 0.128173               0.455688
 0.128369               0.458463
 0.128566               0.461238
 0.128762               0.464013
 0.128958               0.466788
 0.129154               0.469563
 0.12935                0.472338
 0.129547               0.475113
 0.129743               0.477888
 0.129939               0.480663
 0.130135               0.483438
 0.130331               0.486213
 0.130528               0.488988
 0.130724               0.491763
 0.13092                0.494538
 0.131116               0.497313
 0.131312               0.500088
 0.131509               0.502863
 0.131705               0.505638
 0.131901               0.508413
 0.132097               0.511188
 0.132293               0.513963
 0.132489               0.516738
 0.132686               0.519513
 0.132882               0.522288
 0.133078               0.525575
 0.133274               0.529396
 0.13347                0.533217
 0.133667               0.537038
 0.133863               0.540859
 0.134059               0.54468
 0.134255               0.548502
 0.134451               0.552323
 0.134648               0.556144
 0.134844               0.559965
 0.13504                0.563786
 0.135236               0.567607
 0.135432               0.571428
 0.135629               0.57525
 0.135825               0.579071
 0.136021               0.582892
 0.136217               0.586713
 0.136413               0.590534
 0.13661                0.594355
 0.136806               0.598177
 0.137002               0.601998
 0.137198               0.605819
 0.137394               0.60964
 0.137591               0.613461
 0.137787               0.617282
 0.137983               0.621103
 0.138179               0.624925
 0.138375               0.628746
 0.138572               0.632567
 0.138768               0.636388
 0.138964               0.640209
 0.13916                0.64403
 0.139356               0.647851
 0.139553               0.651673
 0.139749               0.655494
 0.139945               0.659337
 0.140141               0.664599
 0.140337               0.669862
 0.140534               0.675124
 0.14073                0.680387
 0.140926               0.68565
 0.141122               0.690912
 0.141318               0.696175
 0.141515               0.701437
 0.141711               0.7067
 0.141907               0.711962
 0.142103               0.717225
 0.142299               0.722488
 0.142495               0.72775
 0.142692               0.733013
 0.142888               0.738275
 0.143084               0.743538
 0.14328                0.748801
 0.143476               0.754063
 0.143673               0.759326
 0.143869               0.764588
 0.144065               0.769851
 0.144261               0.775114
 0.144457               0.780376
 0.144654               0.785639
 0.14485                0.790901
 0.145046               0.796164
 0.145242               0.801427
 0.145438               0.806689
 0.145635               0.811952
 0.145831               0.817214
 0.146027               0.822477
 0.146223               0.82774
 0.146419               0.833002
 0.146616               0.838265
 0.146812               0.843527
 0.147008               0.84879
 0.147204               0.854052
 0.1474                 0.860374
 0.147597               0.867184
 0.147793               0.873993
 0.147989               0.880803
 0.148185               0.887612
 0.148381               0.894422
 0.148578               0.901231
 0.148774               0.90804
 0.14897                0.91485
 0.149166               0.921659
 0.149362               0.928469
 0.149559               0.935278
 0.149755               0.942088
 0.149951               0.948897
 0.150147               0.955706
 0.150343               0.962516
 0.15054                0.969325
 0.150736               0.976135
 0.150932               0.982944
 0.151128               0.989754
 0.151324               0.996563
 0.151521               1.00337
 0.151717               1.01018
 0.151913               1.01699
 0.152109               1.0238
 0.152305               1.03061
 0.152502               1.03742
 0.152698               1.04423
 0.152894               1.05104
 0.15309                1.05785
 0.153286               1.06466
 0.153482               1.07147
 0.153679               1.07828
 0.153875               1.08509
 0.154071               1.0919
 0.154267               1.0987
 0.154463               1.10551
 0.15466                1.11232
 0.154856               1.11913
 0.155052               1.12637
 0.155248               1.13425
 0.155444               1.14214
 0.155641               1.15002
 0.155837               1.1579
 0.156033               1.16578
 0.156229               1.17367
 0.156425               1.18155
 0.156622               1.18943
 0.156818               1.19731
 0.157014               1.2052
 0.15721                1.21308
 0.157406               1.22096
 0.157603               1.22884
 0.157799               1.23672
 0.157995               1.24461
 0.158191               1.25249
 0.158387               1.26037
 0.158584               1.26825
 0.15878                1.27614
 0.158976               1.28402
 0.159172               1.2919
 0.159368               1.29978
 0.159565               1.30766
 0.159761               1.31555
 0.159957               1.32343
 0.160153               1.33131
 0.160349               1.33919
 0.160546               1.34708
 0.160742               1.35496
 0.160938               1.36284
 0.161134               1.37072
 0.16133                1.37861
 0.161527               1.38649
 0.161723               1.39437
 0.161919               1.40225
 0.162115               1.41013
 0.162311               1.41802
 0.162508               1.4259
 0.162704               1.43378
 0.1629                 1.44166
 0.163096               1.44956
 0.163292               1.45763
 0.163488               1.4657
 0.163685               1.47378
 0.163881               1.48185
 0.164077               1.48992
 0.164273               1.498
 0.164469               1.50607
 0.164666               1.51414
 0.164862               1.52222
 0.165058               1.53029
 0.165254               1.53836
 0.16545                1.54644
 0.165647               1.55451
 0.165843               1.56258
 0.166039               1.57066
 0.166235               1.57873
 0.166431               1.5868
 0.166628               1.59488
 0.166824               1.60295
 0.16702                1.61102
 0.167216               1.6191
 0.167412               1.62717
 0.167609               1.63524
 0.167805               1.64332
 0.168001               1.65139
 0.168197               1.65946
