  k [h/Mpc]    inverse covariance [h/Mpc]^5
 0.0954084                      0.139154
 0.0956046                      0.140572
 0.0958008                      0.142057
 0.095997                       0.143592
 0.0961932                      0.145127
 0.0963894                      0.146662
 0.0965856                      0.148197
 0.0967818                      0.149732
 0.096978                       0.151267
 0.0971742                      0.152802
 0.0973704                      0.154337
 0.0975666                      0.155872
 0.0977628                      0.157407
 0.097959                       0.158942
 0.0981552                      0.160478
 0.0983514                      0.162112
 0.0985475                      0.163746
 0.0987437                      0.16538
 0.0989399                      0.167013
 0.0991361                      0.168647
 0.0993323                      0.170281
 0.0995285                      0.171914
 0.0997247                      0.173548
 0.0999209                      0.175182
 0.100117                       0.176816
 0.100313                       0.178449
 0.10051                        0.180083
 0.100706                       0.181727
 0.100902                       0.183437
 0.101098                       0.185146
 0.101294                       0.186856
 0.10149                        0.188566
 0.101687                       0.190276
 0.101883                       0.191986
 0.102079                       0.193696
 0.102275                       0.195405
 0.102471                       0.197115
 0.102668                       0.198825
 0.102864                       0.200535
 0.10306                        0.202245
 0.103256                       0.203955
 0.103452                       0.205711
 0.103649                       0.207472
 0.103845                       0.209233
 0.104041                       0.210994
 0.104237                       0.212755
 0.104433                       0.214515
 0.10463                        0.216276
 0.104826                       0.218037
 0.105022                       0.219798
 0.105218                       0.221559
 0.105414                       0.22332
 0.105611                       0.225081
 0.105807                       0.226841
 0.106003                       0.228614
 0.106199                       0.230405
 0.106395                       0.232197
 0.106592                       0.233989
 0.106788                       0.235781
 0.106984                       0.237572
 0.10718                        0.239364
 0.107376                       0.241156
 0.107573                       0.242948
 0.107769                       0.24474
 0.107965                       0.246531
 0.108161                       0.248323
 0.108357                       0.250115
 0.108554                       0.251907
 0.10875                        0.253705
 0.108946                       0.255513
 0.109142                       0.25732
 0.109338                       0.259127
 0.109535                       0.260934
 0.109731                       0.262742
 0.109927                       0.264549
 0.110123                       0.266356
 0.110319                       0.268163
 0.110516                       0.269971
 0.110712                       0.271778
 0.110908                       0.273585
 0.111104                       0.275392
 0.1113                         0.2772
 0.111496                       0.27901
 0.111693                       0.280834
 0.111889                       0.282659
 0.112085                       0.284483
 0.112281                       0.286307
 0.112477                       0.288131
 0.112674                       0.289955
 0.11287                        0.291779
 0.113066                       0.293603
 0.113262                       0.295428
 0.113458                       0.297252
 0.113655                       0.299076
 0.113851                       0.3009
 0.114047                       0.302724
 0.114243                       0.304548
 0.114439                       0.306392
 0.114636                       0.308251
 0.114832                       0.31011
 0.115028                       0.311968
 0.115224                       0.313827
 0.11542                        0.315686
 0.115617                       0.317544
 0.115813                       0.319403
 0.116009                       0.321262
 0.116205                       0.32312
 0.116401                       0.324979
 0.116598                       0.326838
 0.116794                       0.328696
 0.11699                        0.330555
 0.117186                       0.332414
 0.117382                       0.334315
 0.117579                       0.336248
 0.117775                       0.338181
 0.117971                       0.340114
 0.118167                       0.342047
 0.118363                       0.34398
 0.11856                        0.345912
 0.118756                       0.347845
 0.118952                       0.349778
 0.119148                       0.351711
 0.119344                       0.353644
 0.119541                       0.355577
 0.119737                       0.35751
 0.119933                       0.359443
 0.120129                       0.361376
 0.120325                       0.363334
 0.120522                       0.365402
 0.120718                       0.367471
 0.120914                       0.369539
 0.12111                        0.371608
 0.121306                       0.373677
 0.121503                       0.375745
 0.121699                       0.377814
 0.121895                       0.379882
 0.122091                       0.381951
 0.122287                       0.384019
 0.122483                       0.386088
 0.12268                        0.388157
 0.122876                       0.390225
 0.123072                       0.392294
 0.123268                       0.394362
 0.123464                       0.396516
 0.123661                       0.398798
 0.123857                       0.401079
 0.124053                       0.403361
 0.124249                       0.405642
 0.124445                       0.407924
 0.124642                       0.410205
 0.124838                       0.412487
 0.125034                       0.414768
 0.12523                        0.41705
 0.125426                       0.419331
 0.125623                       0.421613
 0.125819                       0.423894
 0.126015                       0.426176
 0.126211                       0.428458
 0.126407                       0.430739
 0.126604                       0.433085
 0.1268                         0.435673
 0.126996                       0.438262
 0.127192                       0.44085
 0.127388                       0.443439
 0.127585                       0.446027
 0.127781                       0.448616
 0.127977                       0.451205
 0.128173                       0.453793
 0.128369                       0.456382
 0.128566                       0.45897
 0.128762                       0.461559
 0.128958                       0.464148
 0.129154                       0.466736
 0.12935                        0.469325
 0.129547                       0.471913
 0.129743                       0.474502
 0.129939                       0.477339
 0.130135                       0.480342
 0.130331                       0.483345
 0.130528                       0.486348
 0.130724                       0.489351
 0.13092                        0.492354
 0.131116                       0.495357
 0.131312                       0.49836
 0.131509                       0.501363
 0.131705                       0.504366
 0.131901                       0.507369
 0.132097                       0.510372
 0.132293                       0.513375
 0.132489                       0.516377
 0.132686                       0.51938
 0.132882                       0.522383
 0.133078                       0.525386
 0.133274                       0.528687
 0.13347                        0.532217
 0.133667                       0.535748
 0.133863                       0.539279
 0.134059                       0.54281
 0.134255                       0.546341
 0.134451                       0.549872
 0.134648                       0.553403
 0.134844                       0.556934
 0.13504                        0.560465
 0.135236                       0.563996
 0.135432                       0.567527
 0.135629                       0.571057
 0.135825                       0.574588
 0.136021                       0.578119
 0.136217                       0.58165
 0.136413                       0.585181
 0.13661                        0.588768
 0.136806                       0.592935
 0.137002                       0.597101
 0.137198                       0.601268
 0.137394                       0.605435
 0.137591                       0.609602
 0.137787                       0.613769
