  k [h/Mpc]        mu=0      mu=0.5       mu=1
 0.257083      -82.5083   -116.992    -282.539
 0.258316      -81.8998   -116.128    -280.632
 0.259549      -81.2904   -115.264    -278.73
 0.260782      -80.6784   -114.399    -276.838
 0.262015      -80.0566   -113.531    -274.976
 0.263248      -79.4348   -112.662    -273.115
 0.264481      -78.8042   -111.789    -271.271
 0.265714      -78.1653   -110.911    -269.442
 0.266947      -77.5263   -110.032    -267.614
 0.26818       -76.881    -109.155    -265.822
 0.269414      -76.234    -108.277    -264.039
 0.270647      -75.587    -107.4      -262.257
 0.27188       -74.945    -106.537    -260.535
 0.273113      -74.3029   -105.674    -258.812
 0.274346      -73.6648   -104.817    -257.103
 0.275579      -73.0413   -103.982    -255.445
 0.276812      -72.4178   -103.147    -253.788
 0.278045      -71.8053   -102.327    -252.156
 0.279278      -71.2114   -101.531    -250.57
 0.280511      -70.6175   -100.735    -248.983
 0.281744      -70.0426    -99.9619   -247.433
 0.282977      -69.4869    -99.2128   -245.921
 0.284211      -68.9311    -98.4636   -244.408
 0.285444      -68.3979    -97.7402   -242.927
 0.286677      -67.8807    -97.0351   -241.468
 0.28791       -67.3635    -96.3299   -240.01
 0.289143      -66.8646    -95.6456   -238.577
 0.290376      -66.376     -94.9733   -237.159
 0.291609      -65.8875    -94.301    -235.741
 0.292842      -65.4128    -93.644    -234.339
 0.294075      -64.9455    -92.9952   -232.946
 0.295308      -64.4782    -92.3465   -231.553
 0.296541      -64.0226    -91.7102   -230.17
 0.297774      -63.5741    -91.0814   -228.795
 0.299008      -63.1255    -90.4525   -227.419
 0.300241      -62.6917    -89.8406   -226.064
 0.301474      -62.2694    -89.2417   -224.726
 0.302707      -61.8471    -88.6428   -223.387
 0.30394       -61.4383    -88.0593   -222.068
 0.305173      -61.0453    -87.4936   -220.77
 0.306406      -60.6524    -86.9279   -219.472
 0.307639      -60.266     -86.3702   -218.186
 0.308872      -59.8939    -85.8294   -216.925
 0.310105      -59.5218    -85.2887   -215.665
 0.311338      -59.1511    -84.7501   -214.409
 0.312571      -58.7898    -84.2252   -213.184
 0.313805      -58.4285    -83.7002   -211.96
 0.315038      -58.0672    -83.1753   -210.735
 0.316271      -57.7116    -82.6613   -209.545
 0.317504      -57.3564    -82.1484   -208.359
 0.318737      -57.0013    -81.6355   -207.173
 0.31997       -56.6458    -81.1264   -206.011
 0.321203      -56.2903    -80.6194   -204.862
 0.322436      -55.9347    -80.1124   -203.713
 0.323669      -55.5785    -79.6072   -202.577
 0.324902      -55.2211    -79.1054   -201.468
 0.326135      -54.8637    -78.6035   -200.358
 0.327368      -54.5063    -78.1017   -199.249
 0.328602      -54.1522    -77.6106   -198.185
 0.329835      -53.7981    -77.1195   -197.121
 0.331068      -53.444     -76.6284   -196.057
 0.332301      -53.0943    -76.1463   -195.023
 0.333534      -52.7474    -75.67     -194.007
 0.334767      -52.4005    -75.1937   -192.992
 0.336         -52.0555    -74.7204   -191.984
 0.337233      -51.7196    -74.2612   -191.011
 0.338466      -51.3838    -73.8019   -190.037
 0.339699      -51.048     -73.3427   -189.064
 0.340932      -50.7214    -72.8964   -188.118
 0.342165      -50.3989    -72.4557   -187.183
 0.343398      -50.0763    -72.015    -186.248
 0.344632      -49.7562    -71.5775   -185.319
 0.345865      -49.4472    -71.1544   -184.416
 0.347098      -49.1382    -70.7313   -183.513
 0.348331      -48.8292    -70.3083   -182.609
 0.349564      -48.5286    -69.8949   -181.719
 0.350797      -48.2334    -69.4878   -180.838
 0.35203       -47.9382    -69.0807   -179.956
 0.353263      -47.643     -68.6736   -179.074
 0.354496      -47.3611    -68.2818   -178.212
 0.355729      -47.0792    -67.89     -177.35
 0.356962      -46.7973    -67.4982   -176.488
 0.358195      -46.5197    -67.1111   -175.631
 0.359429      -46.2508    -66.7335   -174.784
 0.360662      -45.9819    -66.3558   -173.937
 0.361895      -45.7129    -65.9782   -173.091
 0.363128      -45.4509    -65.6079   -172.251
 0.364361      -45.1928    -65.242    -171.416
 0.365594      -44.9348    -64.8761   -170.581
 0.366827      -44.6768    -64.5102   -169.747
 0.36806       -44.4287    -64.156    -168.929
 0.369293      -44.182     -63.8034   -168.113
 0.370526      -43.9353    -63.4509   -167.297
 0.371759      -43.6894    -63.0993   -166.483
 0.372992      -43.4532    -62.7596   -165.688
 0.374226      -43.2171    -62.4199   -164.893
 0.375459      -42.9809    -62.0802   -164.097
 0.376692      -42.7465    -61.7428   -163.307
 0.377925      -42.5176    -61.4133   -162.534
 0.379158      -42.2887    -61.0838   -161.761
 0.380391      -42.0598    -60.7543   -160.988
 0.381624      -41.8324    -60.4276   -160.223
 0.382857      -41.608     -60.1067   -159.477
 0.38409       -41.3837    -59.7857   -158.73
 0.385323      -41.1594    -59.4648   -157.983
 0.386556      -40.9371    -59.1477   -157.248
 0.387789      -40.7183    -58.8369   -156.531
 0.389023      -40.4995    -58.5261   -155.814
 0.390256      -40.2806    -58.2152   -155.098
 0.391489      -40.0637    -57.908    -154.392
 0.392722      -39.8499    -57.6067   -153.705
 0.393955      -39.6361    -57.3054   -153.018
 0.395188      -39.4223    -57.004    -152.33
 0.396421      -39.2103    -56.7059   -151.652
 0.397654      -39.002     -56.4141   -150.992
 0.398887      -38.7937    -56.1223   -150.332
 0.40012       -38.5853    -55.8305   -149.671
 0.401353      -38.3786    -55.5411   -149.017
 0.402586      -38.177     -55.2598   -148.382
 0.40382       -37.9755    -54.9784   -147.747
 0.405053      -37.774     -54.6971   -147.113
 0.406286      -37.573     -54.4166   -146.48
 0.407519      -37.3785    -54.1454   -145.868
 0.408752      -37.184     -53.8743   -145.256
 0.409985      -36.9895    -53.6031   -144.644
 0.411218      -36.795     -53.332    -144.032
 0.412451      -36.6062    -53.0683   -143.434
 0.413684      -36.4183    -52.8056   -142.838
 0.414917      -36.2304    -52.5429   -142.241
 0.41615       -36.0425    -52.2803   -141.645
 0.417383      -35.8587    -52.0228   -141.058
 0.418617      -35.6775    -51.7687   -140.477
 0.41985       -35.4962    -51.5146   -139.896
 0.421083      -35.3149    -51.2604   -139.315
 0.422316      -35.1359    -51.0089   -138.738
 0.423549      -34.9622    -50.7637   -138.17
 0.424782      -34.7884    -50.5185   -137.603
 0.426015      -34.6146    -50.2733   -137.035
 0.427248      -34.4408    -50.0281   -136.468
 0.428481      -34.2741    -49.7906   -135.91
 0.429714      -34.1079    -49.5537   -135.352
 0.430947      -33.9417    -49.3169   -134.795
 0.43218       -33.7756    -49.08     -134.237
 0.433414      -33.6124    -48.847    -133.687
 0.434647      -33.4522    -48.6177   -133.143
 0.43588       -33.292     -48.3885   -132.6
