Derivative of the nonlinear power spectrum - calculated with velocileptors using a linear eulerian bias b = 1.5 - with respect to m_ncdm at z=2, using the fiducial cosmological parameters listed below:
   'A_s': 2.10732e-9,
   'n_s': 0.96824,
   'alpha_s': 0.,
   'h': 0.6770,
   'N_ur': 2.0328,
   'N_ncdm': 1,
   'm_ncdm': 0.06,
   'tau_reio': 0.0568,
   'omega_b': 0.02247,
   'omega_cdm': 0.11923,
   'Omega_k': 0.

k [h/Mpc]        mu=0     mu=0.5       mu=1
 0.331068     -188.135    -255.291   -642.408
 0.332301     -186.983    -253.74    -639.121
 0.333534     -185.841    -252.21    -635.898
 0.334767     -184.698    -250.679   -632.674
 0.336        -183.562    -249.158   -629.473
 0.337233     -182.451    -247.678   -626.376
 0.338466     -181.34     -246.198   -623.279
 0.339699     -180.229    -244.718   -620.183
 0.340932     -179.144    -243.274   -617.161
 0.342165     -178.07     -241.847   -614.171
 0.343398     -176.996    -240.419   -611.182
 0.344632     -175.93     -239       -608.207
 0.345865     -174.896    -237.623   -605.3
 0.347098     -173.863    -236.245   -602.394
 0.348331     -172.83     -234.868   -599.487
 0.349564     -171.823    -233.518   -596.607
 0.350797     -170.832    -232.185   -593.745
 0.35203      -169.842    -230.853   -590.882
 0.353263     -168.852    -229.521   -588.02
 0.354496     -167.902    -228.231   -585.2
 0.355729     -166.952    -226.941   -582.381
 0.356962     -166.003    -225.651   -579.561
 0.358195     -165.066    -224.374   -576.752
 0.359429     -164.155    -223.122   -573.961
 0.360662     -163.244    -221.87    -571.17
 0.361895     -162.333    -220.618   -568.379
 0.363128     -161.443    -219.386   -565.606
 0.364361     -160.564    -218.167   -562.842
 0.365594     -159.685    -216.947   -560.078
 0.366827     -158.807    -215.727   -557.314
 0.36806      -157.955    -214.538   -554.594
 0.369293     -157.106    -213.352   -551.879
 0.370526     -156.258    -212.167   -549.165
 0.371759     -155.412    -210.984   -546.455
 0.372992     -154.591    -209.832   -543.799
 0.374226     -153.77     -208.681   -541.142
 0.375459     -152.949    -207.529   -538.486
 0.376692     -152.134    -206.385   -535.846
 0.377925     -151.336    -205.267   -533.261
 0.379158     -150.538    -204.148   -530.677
 0.380391     -149.74     -203.029   -528.092
 0.381624     -148.949    -201.922   -525.537
 0.382857     -148.172    -200.837   -523.04
 0.38409      -147.396    -199.753   -520.542
 0.385323     -146.619    -198.668   -518.045
 0.386556     -145.851    -197.598   -515.584
 0.387789     -145.098    -196.551   -513.179
 0.389023     -144.345    -195.504   -510.774
 0.390256     -143.592    -194.457   -508.369
 0.391489     -142.847    -193.424   -505.999
 0.392722     -142.116    -192.413   -503.685
 0.393955     -141.385    -191.402   -501.372
 0.395188     -140.653    -190.391   -499.058
 0.396421     -139.929    -189.392   -496.772
 0.397654     -139.22     -188.415   -494.542
 0.398887     -138.511    -187.439   -492.312
 0.40012      -137.801    -186.462   -490.081
 0.401353     -137.097    -185.493   -487.868
 0.402586     -136.411    -184.551   -485.713
 0.40382      -135.725    -183.608   -483.557
 0.405053     -135.039    -182.666   -481.402
 0.406286     -134.355    -181.726   -479.251
 0.407519     -133.692    -180.815   -477.161
 0.408752     -133.03     -179.905   -475.07
 0.409985     -132.367    -178.994   -472.98
 0.411218     -131.704    -178.084   -470.889
 0.412451     -131.06     -177.196   -468.839
 0.413684     -130.419    -176.313   -466.795
 0.414917     -129.778    -175.429   -464.751
 0.41615      -129.136    -174.545   -462.707
 0.417383     -128.508    -173.677   -460.692
 0.418617     -127.887    -172.819   -458.695
 0.41985      -127.266    -171.961   -456.698
 0.421083     -126.645    -171.103   -454.702
 0.422316     -126.031    -170.252   -452.717
 0.423549     -125.43     -169.419   -450.763
 0.424782     -124.83     -168.586   -448.809
 0.426015     -124.23     -167.752   -446.854
 0.427248     -123.63     -166.919   -444.9
 0.428481     -123.049    -166.107   -442.975
 0.429714     -122.469    -165.297   -441.053
 0.430947     -121.889    -164.486   -439.131
 0.43218      -121.309    -163.676   -437.208
 0.433414     -120.739    -162.877   -435.309
 0.434647     -120.177    -162.09    -433.431
 0.43588      -119.616    -161.303   -431.553
 0.437113     -119.055    -160.516   -429.675
 0.438346     -118.494    -159.73    -427.799
 0.439579     -117.951    -158.966   -425.967
 0.440812     -117.407    -158.202   -424.135
 0.442045     -116.864    -157.439   -422.303
 0.443278     -116.321    -156.675   -420.471
 0.444511     -115.785    -155.923   -418.661
 0.445744     -115.259    -155.182   -416.875
 0.446977     -114.733    -154.441   -415.089
 0.448211     -114.207    -153.7     -413.303
 0.449444     -113.681    -152.959   -411.516
 0.450677     -113.169    -152.24    -409.778
 0.45191      -112.659    -151.523   -408.045
 0.453143     -112.149    -150.805   -406.312
 0.454376     -111.639    -150.088   -404.579
 0.455609     -111.133    -149.377   -402.859
 0.456842     -110.639    -148.683   -401.18
 0.458075     -110.145    -147.99    -399.502
 0.459308     -109.651    -147.297   -397.823
 0.460541     -109.157    -146.603   -396.145
 0.461774     -108.671    -145.921   -394.493
 0.463008     -108.192    -145.251   -392.866
 0.464241     -107.714    -144.58    -391.239
 0.465474     -107.235    -143.909   -389.612
 0.466707     -106.756    -143.238   -387.985
 0.46794      -106.289    -142.584   -386.392
 0.469173     -105.826    -141.935   -384.812
 0.470406     -105.363    -141.286   -383.232
 0.471639     -104.899    -140.637   -381.652
 0.472872     -104.436    -139.988   -380.072
 0.474105     -103.987    -139.358   -378.529
